Distance 1     2     3     4     5     6     7     8     9
1.0      38.00 39.00 39.00 40.00 40.00 41.00 40.00 40.00 40.00
2.0      43.00 44.00 44.00 44.00 44.00 44.00 44.00 44.00 45.00
3.0      47.00 47.00 47.00 48.00 48.00 48.00 48.00 48.00 48.00
4.0      44.00 45.00 46.00 46.00 47.00 47.00 47.00 48.00 49.00 
5.0      46.00 46.00 46.00 46.00 46.00 46.00 47.00 47.00 48.00
6.0      50.00 50.00 51.00 51.00 52.00 52.00 52.00 52.00 54.00
